zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_spread_mean,spectral_spread_std,spectral_rolloff_mean,spectral_rolloff_std,MFCC_Mean_2,MFCC_Std_1,Class
0.018429753373514872,0.022783751755587046,0.0346896733654906,0.04940522208996974,0.028363773442091286,0.030341320454281163,0.01791586347658465,0.01925663446950326,0.7739069234268741,0.5800934256826905,sound_guitar
0.017872114913071654,0.02896506063933169,0.042552096790685084,0.123227351426015,0.03491608748616979,0.10173483127038903,0.01782137052575878,0.028544656292101594,0.7630916146535476,0.6214171423448958,sound_guitar
0.02219282426083231,0.035314760393528,0.049953466228411264,0.13648961173951765,0.04454831810601258,0.10230325407626267,0.019333257738972674,0.02153956385922339,0.7617938996979128,0.6399932128798913,sound_guitar
0.018767895844209178,0.023849083043762074,0.036762782285581275,0.06305463662738148,0.02810316544971569,0.04302548389148085,0.016693754645903416,0.018667576242946453,0.7585905206993813,0.5962342454018679,sound_guitar
0.02067217186338242,0.02709821678879854,0.039732456525452556,0.05815188558245943,0.032563498570252994,0.038447829392577466,0.018791498154237696,0.020854678033568597,0.7641823272557735,0.6200033275546628,sound_guitar
0.017543859649122775,0.021489869175190298,0.036949870627800946,0.062368033795716996,0.029053846518796972,0.036307197935818596,0.01569212936714921,0.01734841325507325,0.7606222607574513,0.6127537219295679,sound_guitar
0.016648078717985116,0.023593310481694732,0.03891889796232075,0.11290187024426597,0.027821689744991423,0.08300317417826315,0.01375187411019138,0.01603821647187253,0.7465335097546406,0.6147052997733711,sound_guitar
0.01812127252305685,0.022528558587116162,0.04037754619729347,0.09717334223600123,0.028046532337873294,0.047120767897493906,0.015049577301533308,0.01645523613804389,0.7553297894558832,0.6105106374695366,sound_guitar
0.017104867669624817,0.022674134657633564,0.04197698682967534,0.10644382741226908,0.0282619451669245,0.05813196436662291,0.014350329465421882,0.014902556665431742,0.7281515490270716,0.6290163486970868,sound_guitar
0.017978896745922505,0.021997864247696498,0.04532026340090654,0.11536915296542143,0.0298191444104133,0.059748474585026315,0.014961383880762498,0.014048033161518288,0.7334677425508467,0.628369022327251,sound_guitar
0.01870659516238737,0.02450152219871511,0.04076300396707597,0.10192068817195284,0.03013712353107132,0.060981803368306,0.016214990361719018,0.01574257805615252,0.7630994140410621,0.6100142183856074,sound_guitar
0.01818850552892599,0.024721045548376706,0.036150426346528285,0.05584477754677669,0.02832033864966297,0.03682262989857468,0.016970933968325965,0.019026380315062714,0.7727400124620034,0.5854068969477846,sound_guitar
